SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
104,Christo Swanepoel,PHSOB 3,,PHSOB 3,8,3,0,26,37,8.67,70.27,19,0,0,0,0,1,0,2,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
105,Eben Botha,TUKS 5,,TUKS 5,4,3,2,26,38,26.00,68.42,18,0,0,0,0,1,0,2,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
106,Abbas Mohammad,POLICE 3,,POLICE 3,3,2,0,25,42,12.50,59.52,25,0,0,0,1,1,1,2,Titans Second League
,POLICE 3,,,,,,,,,,,,,,,,,,,Titans Second League
107,Craig Swanepoel,TUT 3,,TUT 3,5,4,0,25,46,6.25,54.35,10,0,0,0,0,0,0,4,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
108,JP Roets,SINOVILLE 4,,SINOVILLE 4,3,1,1,24,23,--,104.35,24,0,0,0,0,0,0,3,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
109,Janko Roets,TUKS 6,,TUKS 6,2,2,0,24,24,12.00,100.00,13,0,0,0,0,0,1,3,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
110,Andre Van wyk,TUKS 5,,TUKS 5,12,5,1,24,53,6.00,45.28,9,0,0,0,0,1,0,3,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
111,Henko Affies,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,1,1,23,15,--,153.33,23,0,0,0,0,0,0,4,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
112,Charl Prinsloo,SINOVILLE 3,,SINOVILLE 3,2,1,0,23,16,23.00,143.75,23,0,0,0,0,0,0,5,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
113,James Nelson,CBCOB 3,,CBCOB 3,1,1,1,23,22,--,104.55,23,0,0,0,0,0,1,2,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
114,Muhammed Moosa,TUKS 6,,TUKS 6,4,3,0,23,23,7.67,100.00,22,0,0,0,0,1,1,2,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
115,Varun Cherian,TUKS 6,,TUKS 6,1,1,0,23,26,23.00,88.46,23,0,0,0,0,0,0,5,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
116,Dylan Alberts,TUT 3,,TUT 3,3,3,0,23,70,7.67,32.86,20,0,0,0,0,1,0,2,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
117,Tiaan Lotter,SINOVILLE 3,,SINOVILLE 3,1,1,0,22,11,22.00,200.00,22,0,0,0,0,0,2,1,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
118,Puseletso Mogofe,TUKS 6,,TUKS 6,4,3,1,22,20,11.00,110.00,14,0,0,0,0,0,1,3,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
119,Berno Klopper,SINOVILLE 3,,SINOVILLE 3,3,2,0,22,32,11.00,68.75,15,0,0,0,0,0,1,1,Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,Titans Second League
120,Nasir Iqbal,POLICE 3,,POLICE 3,3,2,0,22,37,11.00,59.46,11,0,0,0,0,0,0,3,Titans Second League
,POLICE 3,,,,,,,,,,,,,,,,,,,Titans Second League
121,Jan Jones,TUKS 5,,TUKS 5,4,2,0,22,46,11.00,47.83,21,0,0,0,0,0,0,3,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
122,Michael Du Plessis,TUKS 6,,TUKS 6,1,1,0,21,23,21.00,91.30,21,0,0,0,0,0,0,3,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
123,Stefan Strydom,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,21,30,21.00,70.00,21,0,0,0,0,0,0,2,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
124,Wian Munnik,SINOVILLE 4,,SINOVILLE 4,2,1,0,21,32,21.00,65.62,21,0,0,0,0,0,1,1,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
125,Duan St Arnaud,PHSOB 3,,PHSOB 3,3,3,0,21,36,7.00,58.33,12,0,0,0,0,0,1,1,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
126,Derrick Cremer,CBCOB 3,,CBCOB 3,2,1,0,20,10,20.00,200.00,20,0,0,0,0,0,0,5,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
127,Johanco Faihst,TUKS 5,,TUKS 5,1,1,0,20,16,20.00,125.00,20,0,0,0,0,0,1,3,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
128,Jean Coudron,SINOVILLE 3,,SINOVILLE 3,2,2,0,20,19,10.00,105.26,14,0,0,0,0,0,0,1,Titans Second League
